Rank,TeamName,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
342,Alabama St.,SWAC,8-23,-21.56,91.1,112.6,68.1,-0.007,-9.58,99.1,108.7,2.87
343,Coppin St.,MEAC,8-24,-21.74,93.7,115.4,68.4,0.002,-6.83,100.7,107.5,7.94
344,Florida A&M,MEAC,6-23,-22.34,93.6,116,68.9,-0.085,-12.72,97.7,110.4,-4.02
345,Mississippi Valley St.,SWAC,7-25,-22.45,95.8,118.2,70.9,0.025,-6.63,100.5,107.1,11.82
346,St. Francis NY,NEC,4-27,-24.3,87.8,112.1,66.8,-0.037,-7.05,100.6,107.7,-1.34
347,Longwood,BSth,6-24,-25.12,92.2,117.3,70.1,0.017,-5.47,101.5,107,0.04
348,Arkansas Pine Bluff,SWAC,7-25,-25.2,85.6,110.8,67.2,-0.01,-9,100.4,109.4,2.99
349,North Carolina A&T,MEAC,3-29,-27.47,95.5,123,62.5,-0.086,-8.89,98.9,107.8,0.54
350,Presbyterian,BSth,5-25,-29.23,88.9,118.1,63.9,0.018,-4.09,102.8,106.9,2.71
351,Alabama A&M,SWAC,2-27,-30.22,91.6,121.8,63.8,-0.075,-9.75,98.8,108.6,1.48
