Rank,TeamName,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
155,Evansville,MVC,16-17,0.88,104.1,103.2,66.4,-0.024,1.39,104.7,103.3,-2.2
156,Massachusetts,A10,15-18,0.81,100.7,99.9,71.5,-0.042,1.3,105,103.7,-4.17
157,Northeastern,CAA,15-16,0.63,107.1,106.4,65.7,-0.014,1.17,105.3,104.1,2.54
158,Jacksonville St.,OVC,20-14,0.58,105.4,104.8,63.3,0.029,-2.1,104,106.1,1.06
159,Tennessee St.,OVC,17-13,0.54,100.3,99.7,66.6,-0.016,-2.08,104.5,106.6,3.86
160,Boston College,ACC,9-23,0.42,104.3,103.9,70.8,-0.032,9.16,110.6,101.4,-6.13
161,Lipscomb,ASun,20-13,0.33,107.2,106.9,73.9,-0.017,-4.29,103.3,107.6,1.14
162,Western Michigan,MAC,16-16,0.3,107,106.7,67.5,-0.016,-0.34,105.4,105.8,2.01
163,Missouri,SEC,8-24,0.23,101.3,101.1,67.7,-0.16,6.64,107.9,101.2,-4.89
164,Grand Canyon,WAC,22-9,0.23,101.3,101,68.6,0.078,-6.5,99.8,106.3,-7.55
165,North Dakota St.,Sum,19-11,0.16,104.5,104.3,66.4,0.081,-1.67,105.6,107.3,0.63
166,Wright St.,Horz,20-12,0.11,106.5,106.4,68.7,0.056,-2.18,102.9,105,0.93
167,Loyola Marymount,WCC,15-15,-0.02,103.1,103.2,66.9,0.025,0.52,105.1,104.6,-4.89
168,Washington,P12,9-22,-0.04,107.7,107.7,70.6,-0.102,6.73,109.2,102.4,-2.37
169,Northern Iowa,MVC,14-16,-0.05,97.5,97.5,63.1,0.054,4.71,107.2,102.5,7.83
170,Penn,Ivy,13-15,-0.1,102.5,102.6,66.3,-0.053,-1.3,103.6,104.9,0.73
171,Texas St.,SB,20-13,-0.13,102.5,102.7,61.6,0.019,-3.51,102.7,106.2,-8.11
172,Georgia Southern,SB,18-14,-0.24,106.5,106.8,68.4,0.041,-0.47,105.1,105.6,2.24
173,North Dakota,BSky,22-9,-0.32,102.9,103.2,71,0.047,-6.52,102.3,108.9,3.07
174,Siena,MAAC,17-17,-0.36,106.1,106.5,68.3,-0.009,-1.07,104.5,105.5,5.9
175,Nebraska Omaha,Sum,18-14,-0.4,108.5,108.9,73.4,0.086,-0.3,106.2,106.5,4.27
176,Ball St.,MAC,21-12,-0.47,104.8,105.2,70.6,0.051,-4,103,107,-10.62
177,LSU,SEC,10-21,-0.5,109.4,109.9,71.6,0.008,9.25,108.6,99.4,3.5
178,New Orleans,Slnd,20-11,-0.52,100.8,101.3,65.9,0.065,-5.24,102.4,107.6,8.41
179,New Hampshire,AE,20-12,-0.66,102.4,103.1,65.1,0.063,-4.15,102.6,106.8,-0.31
180,Gardner Webb,BSth,19-14,-0.7,102.7,103.4,70.4,-0.041,-5.32,101.5,106.8,4.83
181,Weber St.,BSky,19-13,-0.73,108.3,109,66.2,-0.035,-5.15,103,108.2,1.41
182,Saint Joseph's,A10,11-20,-0.93,102.2,103.2,68,-0.032,3.75,106.1,102.3,3.67
183,DePaul,BE,9-23,-1.03,103.5,104.5,67.3,-0.069,7.28,108.8,101.5,-7.08
184,East Carolina,Amer,15-18,-1.18,97.1,98.3,66.5,0.013,1.06,105.2,104.1,-10.43
185,Green Bay,Horz,18-13,-1.29,101.9,103.2,73.8,0.04,-2.96,103.7,106.7,-0.18
186,Hofstra,CAA,15-17,-1.3,111.1,112.4,67.2,-0.035,-1.13,104.2,105.3,-2.54
187,South Dakota St.,Sum,18-16,-1.33,110.8,112.1,66.8,0.029,-1.09,104.6,105.6,1.6
188,Eastern Washington,BSky,22-11,-1.43,108.7,110.1,66.5,0.092,-5.71,102.7,108.4,2.11
189,Denver,Sum,16-14,-1.54,107.5,109.1,66.4,-0.007,-3.53,103.9,107.4,-5.14
190,Utah Valley,WAC,15-16,-1.54,100.2,101.7,73.1,-0.082,-2.46,101.5,104,1.6
191,Canisius,MAAC,18-15,-1.63,108.3,109.9,69.3,0.016,-3.05,102.8,105.8,-0.82
192,Washington St.,P12,13-18,-2.02,104.4,106.4,67.2,0.067,6.33,108.9,102.6,-3.24
193,Boston University,Pat,18-14,-2.08,101.3,103.4,69.3,0.003,-4.23,101.7,105.9,-0.54
194,UMBC,AE,18-12,-2.22,108.3,110.6,70.2,0.009,-5.17,101.8,106.9,-3.03
195,Montana,BSky,16-16,-2.45,106,108.4,66.3,-0.051,-5.05,103.2,108.2,0.66
196,UAB,CUSA,17-16,-2.48,103.8,106.3,65.7,-0.008,-2.14,103.6,105.7,0.56
197,Murray St.,OVC,16-17,-2.69,107.1,109.8,68.3,-0.087,-3.88,103.5,107.4,0.11
198,IUPUI,Sum,14-18,-2.73,106.9,109.7,68.9,-0.036,-0.34,105.7,106.1,3.9
199,Indiana St.,MVC,11-20,-2.74,99.5,102.2,69.3,-0.009,2.78,105.2,102.4,1.97
200,Coastal Carolina,SB,16-17,-2.77,102.5,105.3,67.6,0.025,0.11,104.8,104.6,1.81
201,Fordham,A10,13-19,-2.95,96.9,99.8,63.9,-0.023,1.24,104.9,103.6,-3.11
202,UTEP,CUSA,15-17,-2.99,99.7,102.7,65.9,-0.035,-3.31,102.8,106.1,-2.62
203,Morehead St.,OVC,14-16,-3.11,106.7,109.9,68.2,-0.005,-0.78,105.1,105.9,4.76
204,Texas A&M Corpus Chris,Slnd,20-11,-3.26,103,106.2,67.6,0.078,-6.34,101.3,107.6,2.42
205,Northern Illinois,MAC,15-17,-3.51,98.9,102.4,66.4,-0.038,-2.28,104.1,106.4,-5.43
206,Fairfield,MAAC,16-14,-3.56,99.3,102.8,68.7,0.052,-3.04,103.5,106.5,-2.44
207,Texas Southern,SWAC,23-11,-3.66,103.6,107.3,68.2,0.12,-9.01,99.7,108.7,12.91
208,Navy,Pat,16-16,-3.78,99.6,103.4,63.9,-0.012,-4.2,101.4,105.6,-2.86
209,Tennessee Martin,OVC,21-12,-3.84,106.9,110.8,67,0.121,-4.41,102.7,107.1,-2.25
210,Rider,MAAC,18-15,-3.87,100.7,104.6,71.9,0.047,-4.31,102.5,106.8,-5.55
211,Liberty,BSth,19-13,-3.92,99.4,103.3,62.4,0.03,-5.81,102.2,108,3.37
212,Stony Brook,AE,18-13,-3.96,102,105.9,65.5,0.066,-5.62,102,107.6,-3.04
213,Mount St. Mary's,NEC,19-15,-4.23,98.9,103.2,66.6,0.06,-5.29,101.5,106.8,11.69
214,Houston Baptist,Slnd,17-13,-4.24,104.8,109.1,69.7,0.054,-3.47,102.7,106.2,13.94
215,Bradley,MVC,13-20,-4.3,98.4,102.7,67.2,0.018,2.71,105.9,103.2,0.64
216,San Jose St.,MWC,14-16,-4.32,100.2,104.5,70.3,0.077,1.21,105.3,104.1,-4.35
217,Holy Cross,Pat,15-17,-4.61,98.5,103.1,60,0.022,-3.07,101.9,104.9,0.43
218,UC Davis,BW,22-12,-4.76,97.9,102.6,68.3,0.109,-6.2,100.1,106.3,-1.19
219,Eastern Illinois,OVC,14-15,-4.87,100,104.9,68.3,-0.049,-4.71,102.8,107.5,-3.02
220,James Madison,CAA,10-23,-5.17,98.9,104,63.6,-0.065,-0.42,105.9,106.4,-2.34
221,Duquesne,A10,10-22,-5.19,101.9,107.1,69.7,-0.075,-0.87,103.2,104.1,-8.1
222,Idaho,BSky,18-13,-5.36,101.2,106.6,66.2,0.051,-6.07,102.7,108.8,-1.18
223,UMKC,WAC,17-16,-5.39,102.5,107.8,70.6,0.065,-2.21,103.1,105.3,0.92
224,Air Force,MWC,12-21,-5.44,104.2,109.6,66.7,-0.065,0.28,104.3,104,-5.91
225,Stephen F. Austin,Slnd,18-14,-5.49,96.8,102.3,66.1,0.033,-5.93,102,108,2.25
226,Lamar,Slnd,19-14,-5.58,103.3,108.8,67.6,-0.007,-7.32,100,107.3,-3.69
227,Long Beach St.,BW,15-19,-5.59,104.6,110.2,69.3,0.036,-1.47,102.9,104.4,12.76
228,USC Upstate,ASun,17-15,-5.93,105.3,111.2,67.7,0.013,-4.48,103.5,108,-0.86
229,Southeast Missouri St.,OVC,15-18,-6,103.3,109.3,68.2,-0.038,-4.3,103.2,107.5,-2.93
230,Central Michigan,MAC,16-16,-6.03,111.5,117.6,75,0.053,-1.94,103.2,105.1,-5.19
231,Southeastern Louisiana,Slnd,16-16,-6.03,97.8,103.8,66.8,-0.054,-7.27,101,108.3,-3.17
232,Columbia,Ivy,11-16,-6.2,101,107.2,68.6,-0.022,-3.03,102.8,105.8,-3.66
233,Western Kentucky,CUSA,15-17,-6.2,102.9,109.1,65.5,0.048,-2.99,102.9,105.9,-3.5
234,Sam Houston St.,Slnd,21-13,-6.24,97.2,103.4,69.8,0.101,-6.22,101.3,107.6,2.7
235,Charlotte,CUSA,13-17,-6.29,103.1,109.4,72.4,0.033,-1.73,103.4,105.1,2.24
236,Oral Roberts,Sum,8-22,-6.3,104.4,110.7,68.7,-0.077,2.09,106.9,104.8,8.71
237,South Alabama,SB,14-18,-6.4,98.9,105.3,69.4,0.012,-2.11,103.9,106,-5.66
238,Tulane,Amer,6-25,-6.43,102.6,109,70.1,-0.075,3.83,105.2,101.4,-1.13
239,Army,Pat,13-19,-6.43,98.4,104.8,71,-0.063,-4.66,101.3,105.9,-3.72
240,Little Rock,SB,15-17,-6.61,98.3,104.9,62.9,0.023,-3.5,103.8,107.3,-7.18
241,Pacific,WCC,11-22,-6.67,99.6,106.3,66.1,-0.003,1.54,105.2,103.7,-2.57
